"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","W4Efsd 8","W4Efsd 9","FQ2IWe src","ah5Ghc","W6VQef","M4A5Cf","ah5Ghc 2","fontBodyMedium","EgL07d src","R8c4Qb"
"https://www.google.com/maps/place/Gokuldham+Food+Palaza/data=!4m7!3m6!1s0x3bd1d787b9803419:0x8624253e7596cc85!8m2!3d19.1823068!4d77.2927963!16s%2Fg%2F11fkw98twg!19sChIJGTSAuYfX0TsRhcyWdT4lJIY?authuser=0&hl=en&rclk=1","Gokuldham Food Palaza","3.8","(31)","·","Bakery and Cake Shop","·","Shop No 1 Bajaj Nagar, Near, Main Road","·","Open","⋅ Closes 11PM","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TE3LvlRUmH2lfYEv413WJA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=241.0225&pitch=0&thumbfov=100","Dine-in","·","·","Takeaway","","",""
"https://www.google.com/maps/place/YASH+CHOT+CENTRE/data=!4m7!3m6!1s0x3bd1d7b65272755f:0xd397a438093c5455!8m2!3d19.1682681!4d77.2983171!16s%2Fg%2F11p7796mh7!19sChIJX3VyUrbX0TsRVVQ8CTikl9M?authuser=0&hl=en&rclk=1","YASH CHOT CENTRE","","","·","Bakery and Cake Shop","·","shop no, 4, Ganesh Nagar Rd","","","","","","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png","","","","","No reviews","",""
"https://www.google.com/maps/place/Patel+Daily+Needs/data=!4m7!3m6!1s0x3bd1d663a2cceafd:0x30b94509ae26a250!8m2!3d19.1676697!4d77.301724!16s%2Fg%2F11fxz_bz15!19sChIJ_erMomPW0TsRUKImrglFuTA?authuser=0&hl=en&rclk=1","Patel Daily Needs","3.8","(4)","·","Bakery and Cake Shop","·","Unnamed Road","·","Closed","⋅ Opens 6AM Sat","","","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png","","","","","","",""
"https://www.google.com/maps/place/Shri+Dev+Naryan+Debli+Vadpav/data=!4m7!3m6!1s0x3bd1d77b447f3973:0xd28de929773b5f4!8m2!3d19.1542796!4d77.2967888!16s%2Fg%2F11rv7sg6h4!19sChIJczl_RHvX0TsR9LVzl5LeKA0?authuser=0&hl=en&rclk=1","Shri Dev Naryan Debli Vadpav","","","·","Bakery and Cake Shop","·","Shop No, 1, Waghi Rd","","","","","","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png","","","","","No reviews","",""
"https://www.google.com/maps/place/Jameel+Bakery/data=!4m7!3m6!1s0x3bd1d636851c27d5:0x801630d3b2bab25e!8m2!3d19.1467543!4d77.3261466!16s%2Fg%2F11c1ptp55w!19sChIJ1ScchTbW0TsRXrK6stMwFoA?authuser=0&hl=en&rclk=1","Jameel Bakery","4.6","(13)","·","Wholesale bakery","·","48WG+PF2, Near Masjid e Qureshiya, Maniyar Galli","·","Open","⋅ Closes 11PM","","","https://lh5.googleusercontent.com/p/AF1QipNyCFEVtALS9wtriDlvXHr--C6Q5fidRoK8vcnf=w80-h142-k-no","","","","","","",""
"https://www.google.com/maps/place/GNX+Fitness(+kabra+Nagar)/data=!4m7!3m6!1s0x3bd1d683bd6bbddb:0x28af9692d78a654e!8m2!3d19.179092!4d77.2905126!16s%2Fg%2F11g697r778!19sChIJ271rvYPW0TsRTmWK15KWryg?authuser=0&hl=en&rclk=1","GNX Fitness( kabra Nagar)","4.3","(173)","·","Gym","·","Mor Chowk","·","Closed","⋅ Opens 6AM Sat","","","https://lh5.googleusercontent.com/p/AF1QipOU5Mp_qTh-gOZx8QkyMgKkyT6h8O3hzO84sc-L=w138-h92-k-no","On-site services","·","","","","",""
"https://www.google.com/maps/place/Gnx+Fitness+(Mahavir+Chowk+)/data=!4m7!3m6!1s0x3bd1d640eac2cabb:0x8de517044fbeb4b3!8m2!3d19.1506542!4d77.313721!16s%2Fg%2F11c37hrc11!19sChIJu8rC6kDW0TsRs7S-TwQX5Y0?authuser=0&hl=en&rclk=1","Gnx Fitness (Mahavir Chowk )","4.2","(144)","·","Gym","·","2nd Floor Anantshree Complex, Mahaveer Chowk","·","Closed","⋅ Opens 5:30AM Sat","","","https://lh5.googleusercontent.com/p/AF1QipN04BLdK4EyvpY4mz1ygcoyV2vXBt1_Ib30K8ti=w80-h106-k-no","","","","","","",""
"https://www.google.com/maps/place/Talwalkars+Gym/data=!4m7!3m6!1s0x3bd1d690e31929a1:0x9f2e310caa42bf56!8m2!3d19.1874588!4d77.3005677!16s%2Fg%2F12hkhbr1n!19sChIJoSkZ45DW0TsRVr9CqgwxLp8?authuser=0&hl=en&rclk=1","Talwalkars Gym","4.0","(183)","·","Gym","·","Millennium Tower, Nanded Malegaon Rd","·","Closed","⋅ Opens 6AM Sat","","","https://lh5.googleusercontent.com/p/AF1QipOLhOdWllREFtBaQQ9C6QzbCmIqbcvES6EEzRDk=w138-h92-k-no","","","","","","",""
"https://www.google.com/maps/place/Fitness+Ladder+GYM/data=!4m7!3m6!1s0x3bd1d6427dc088a3:0x60fec6706b67c907!8m2!3d19.1576108!4d77.3098757!16s%2Fg%2F11g69hq8ys!19sChIJo4jAfULW0TsRB8lna3DG_mA?authuser=0&hl=en&rclk=1","Fitness Ladder GYM","4.0","(175)","·","Gym","·","3rd floor, Sanman Prestige, Besides ZP Building, Railway Station Rd, near Shivaji Putala","·","Closed","⋅ Opens 6AM Sat","","","https://lh5.googleusercontent.com/p/AF1QipMFdty_PJ9xC5HEQbrun1jQd_3ZqMgxD3unyCh3=w80-h106-k-no","","","","","","",""
"https://www.google.com/maps/place/Vaibhav's+Gym/data=!4m7!3m6!1s0x3bd1d41f581016ff:0xe6a8f70bc65142d4!8m2!3d19.1939232!4d77.2815097!16s%2Fg%2F11g8xg5sn2!19sChIJ_xYQWB_U0TsR1EJRxgv3qOY?authuser=0&hl=en&rclk=1","Vaibhav's Gym","4.6","(80)","·","Gym","·","","","Closed","⋅ Opens 5AM Sat","","","https://lh5.googleusercontent.com/p/AF1QipM0oAL9CRmGn84gGlppKQaycD_aaIsjypEJMQjf=w122-h92-k-no","","","","","","",""
